Index,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers,Latitude,Longitude
138,UNIVERSITY OF OULU,FINLAND,1187,28346,23.88,44,65.0593277,25.4673577
139,UNIVERSITY OF ADELAIDE,AUSTRALIA,913,28314,31.01,40,-34.9189226,138.6042367
140,UNIVERSITY SYSTEM OF MARYLAND,USA,1854,28251,15.24,25,39.6428235,-77.7210172
141,TECHNICAL UNIVERSITY OF DENMARK,DENMARK,849,28148,33.15,18,55.7854145,12.5202151
142,AGENCY FOR SCIENCE TECHNOLOGY & RESEARCH (A*STAR),SINGAPORE,1231,27975,22.73,30,1.28967,103.85007
143,NEW YORK UNIVERSITY,USA,1389,27769,19.99,32,40.7292053,-73.9950148
144,UNIVERSITY OF CALIFORNIA IRVINE,USA,1158,27666,23.89,18,33.6458956,-117.842799
145,SEJONG UNIVERSITY,SOUTH KOREA,1284,27519,21.43,41,37.550848,127.0746074
146,CHINA UNIVERSITY OF MINING & TECHNOLOGY,CHINA,1802,27232,15.11,29,34.2146056,117.1380776
147,HOHAI UNIVERSITY,CHINA,1616,27055,16.74,25,32.0576549,118.7550027
148,UNIVERSITY OF CALIFORNIA SAN DIEGO,USA,1419,26697,18.81,28,32.8792438,-117.2311247
149,DELFT UNIVERSITY OF TECHNOLOGY,NETHERLANDS,1816,26662,14.68,14,51.9988273,4.3739604
150,KOREA UNIVERSITY,SOUTH KOREA,2037,26458,12.99,23,36.6108894,127.2934174
151,UNIVERSITY OF QUEBEC,CANADA,1625,26435,16.27,22,52.00017,-71.99907
152,PENG CHENG LABORATORY,CHINA,2089,26329,12.6,53,22.5751276,113.9383373
153,UNIVERSITY OF BIRMINGHAM,ENGLAND,792,26138,33.0,23,52.4522956,-1.9312857
154,QATAR UNIVERSITY,QATAR,1120,26122,23.32,41,25.3719714,51.4879579
155,KYUNG HEE UNIVERSITY,SOUTH KOREA,1225,26039,21.26,52,37.5971213,127.0519867
