Indicators Results List: Institutions   Filter Results By: ResearchFields   Filter Value(s): COMPUTER SCIENCE   Show: Top
,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
"620","BRAUNSCHWEIG UNIVERSITY OF TECHNOLOGY","GERMANY (FED REP GER)","409","7322","17.90","9"
"621","UNIVERSITE FEDERALE TOULOUSE MIDI-PYRENEES (COMUE)","FRANCE","742","7314","9.86","1"
"622","HUMBOLDT UNIVERSITY OF BERLIN","GERMANY (FED REP GER)","551","7267","13.19","2"
"623","MAYO CLINIC","USA","276","7264","26.32","5"
"624","LOUISIANA STATE UNIVERSITY","USA","495","7258","14.66","17"
"625","ROCHESTER INSTITUTE OF TECHNOLOGY","USA","381","7247","19.02","4"
"625","GEORGE WASHINGTON UNIVERSITY","USA","463","7247","15.65","3"
"627","RICE UNIVERSITY","USA","449","7241","16.13","9"
"628","KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","569","7226","12.70","3"
"629","UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES","FRANCE","379","7223","19.06","4"
"630","CEA","FRANCE","501","7218","14.41","8"
"631","UNIVERSITY OF BONN","GERMANY (FED REP GER)","427","7187","16.83","6"
"632","BIRZEIT UNIVERSITY","PALESTINE","73","7180","98.36","8"
"633","UNIVERSITY OF IDAHO","USA","239","7169","30.00","8"
"634","PRINCE SATTAM BIN ABDULAZIZ UNIVERSITY","SAUDI ARABIA","1030","7145","6.94","9"
"635","UNIVERSITY OF FLORENCE","ITALY","605","7141","11.80","4"
"636","XINJIANG UNIVERSITY","CHINA MAINLAND","691","7137","10.33","3"
"637","UNIVERSITY OF ARKANSAS SYSTEM","USA","382","7115","18.63","7"
"638","QUALCOMM","USA","389","7113","18.29","5"
"639","HENAN UNIVERSITY","CHINA MAINLAND","569","7030","12.36","11"
"640","TELECOM PARIS","FRANCE","671","7026","10.47","5"
"641","LAWRENCE BERKELEY NATIONAL LABORATORY","USA","450","6997","15.55","8"
"642","HENAN POLYTECHNIC UNIVERSITY","CHINA MAINLAND","547","6953","12.71","14"
"643","TIANJIN UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","464","6939","14.95","4"
"644","HEBEI UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","550","6932","12.60","11"
"645","INSTITUTO POLITECNICO NACIONAL - MEXICO","MEXICO","495","6891","13.92","5"
"646","UNIVERSITY OF ROME TOR VERGATA","ITALY","499","6873","13.77","7"
"647","BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE PILANI (BITS PILANI)","INDIA","549","6858","12.49","7"
"647","UNIVERSITY OF GENOA","ITALY","595","6858","11.53","4"
"649","NEC CORPORATION","JAPAN","373","6845","18.35","4"
"650","UNIVERSITE GUSTAVE-EIFFEL","FRANCE","562","6816","12.13","6"
"651","NATIONAL INSTITUTE OF INFORMATICS (NII) - JAPAN","JAPAN","600","6806","11.34","5"
"652","SHAHID BAHONAR UNIVERSITY OF KERMAN (SBUK)","IRAN","468","6782","14.49","5"
"653","UNIVERSITE DE MONTPELLIER","FRANCE","693","6758","9.75","3"
"654","K. N. TOOSI UNIVERSITY OF TECHNOLOGY","IRAN","570","6732","11.81","3"
"655","UNIV BOURGOGNE FRANCHE-COMTE COMUE","N/A","620","6726","10.85","1"
"656","INSTITUTE OF SOFTWARE, CAS","CHINA MAINLAND","790","6715","8.50","8"
"657","UNIVERSITY OF PORTSMOUTH","ENGLAND","326","6711","20.59","7"
"657","CHUNG ANG UNIVERSITY","SOUTH KOREA","644","6711","10.42","6"
"659","UNIVERSITY OF OKLAHOMA - NORMAN","USA","320","6697","20.93","7"
"660","SHENZHEN RESEARCH INSTITUTE, CITY UNIVERSITY OF HONG KONG","CHINA MAINLAND","241","6692","27.77","11"
"661","ECOLE POLYTECHNIQUE","FRANCE","581","6687","11.51","2"
"662","SOUTH CHINA NORMAL UNIVERSITY","CHINA MAINLAND","657","6680","10.17","8"
"663","ISFAHAN UNIVERSITY OF TECHNOLOGY","IRAN","458","6679","14.58","5"
"664","SIMULA RES LAB","N/A","285","6661","23.37","5"
"665","VRIJE UNIVERSITEIT BRUSSEL","BELGIUM","451","6652","14.75","6"
"666","UTAH STATE UNIVERSITY","USA","294","6613","22.49","6"
"667","UNIVERSITY OF SOUTHERN QUEENSLAND","AUSTRALIA","350","6612","18.89","14"
"668","HEC MONTREAL","CANADA","230","6580","28.61","3"
"669","UNIVERSITY OF TURKU","FINLAND","409","6554","16.02","10"
"670","ILLINOIS INSTITUTE OF TECHNOLOGY","USA","382","6553","17.15","2"
"671","MIDDLESEX UNIVERSITY","ENGLAND","342","6544","19.13","8"
"672","CURTIN UNIVERSITY","AUSTRALIA","467","6539","14.00","6"
"673","NORTH DAKOTA STATE UNIVERSITY FARGO","USA","262","6498","24.80","6"
"674","UNIVERSITY OF REGINA","CANADA","227","6493","28.60","6"
"675","UNIVERSITY OF ARKANSAS FAYETTEVILLE","USA","329","6477","19.69","7"
"676","HUNAN NORMAL UNIVERSITY","CHINA MAINLAND","560","6470","11.55","6"
"677","DELHI TECHNOLOGICAL UNIVERSITY","INDIA","603","6459","10.71","4"
"678","INDIAN INSTITUTE OF TECHNOLOGY BHU VARANASI (IIT BHU VARANASI)","INDIA","491","6458","13.15","2"
"679","SHAOXING UNIVERSITY","CHINA MAINLAND","290","6452","22.25","17"
"680","INDIAN INSTITUTE OF SCIENCE (IISC) - BANGALORE","INDIA","756","6436","8.51","3"
"681","UNIVERSITY OF VIENNA","AUSTRIA","547","6423","11.74","5"
"682","UNIVERSITY OF SHERBROOKE","CANADA","214","6417","29.99","4"
"683","PICARDIE UNIV","N/A","405","6416","15.84","6"
"684","SHIRAZ UNIVERSITY","IRAN","466","6415","13.77","4"
"685","SANDIA NATIONAL LABORATORIES","USA","450","6410","14.24","6"
"686","UNIVERSITY OF NEW MEXICO","USA","418","6408","15.33","3"
"687","COLORADO STATE UNIVERSITY","USA","387","6398","16.53","3"
"687","NATIONAL INSTITUTE OF TECHNOLOGY ROURKELA","INDIA","538","6398","11.89","1"
"689","NATIONAL YUNLIN UNIVERSITY SCIENCE & TECHNOLOGY","TAIWAN","563","6394","11.36","14"
"690","SHIRAZ UNIVERSITY OF TECHNOLOGY","IRAN","390","6392","16.39","5"
"691","NORTHWEST UNIVERSITY XI'AN","CHINA MAINLAND","640","6370","9.95","5"
"692","NANTES UNIVERSITE","FRANCE","468","6341","13.55","5"
"693","JORDAN UNIVERSITY OF SCIENCE & TECHNOLOGY","JORDAN","448","6338","14.15","3"
"694","OAK RIDGE NATIONAL LABORATORY","USA","513","6336","12.35","4"
"695","UNIVERSITY OF RHODE ISLAND","USA","176","6328","35.95","6"
"696","MISSISSIPPI STATE UNIVERSITY","USA","356","6316","17.74","14"
"697","LIVERPOOL JOHN MOORES UNIVERSITY","ENGLAND","286","6299","22.02","3"
"697","ERASMUS UNIVERSITY ROTTERDAM","NETHERLANDS","322","6299","19.56","6"
"699","UNIVERSITE CLAUDE BERNARD LYON 1","FRANCE","696","6290","9.04","5"
"700","INSTITUTE OF SCIENCE TOKYO","JAPAN","731","6289","8.60","2"
"701","FUJIAN UNIVERSITY OF TECHNOLOGY","CHINA MAINLAND","397","6285","15.83","7"
"702","NATIONAL INSTITUTE OF TECHNOLOGY PATNA","INDIA","499","6269","12.56","2"
"703","CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET)","ARGENTINA","688","6267","9.11","4"
"704","AL-BALQA APPLIED UNIVERSITY","JORDAN","303","6252","20.63","10"
"705","UNIVERSITY OF CAGLIARI","ITALY","421","6244","14.83","2"
"706","UNIVERSITE DE TUNIS-EL-MANAR","TUNISIA","528","6241","11.82","2"
"707","INDIAN INSTITUTE OF TECHNOLOGY (IIT) - INDORE","INDIA","410","6239","15.22","5"
"708","INHA UNIVERSITY","SOUTH KOREA","547","6234","11.40","6"
"709","UNIVERSITY OF ZARAGOZA","SPAIN","622","6226","10.01","0"
"710","UNIVERSIDADE DA CORUNA","SPAIN","553","6216","11.24","5"
"711","SHENZHEN RESEARCH INSTITUTE OF BIG DATA","CHINA MAINLAND","299","6207","20.76","15"
"712","AGH UNIVERSITY OF KRAKOW","POLAND","671","6205","9.25","1"
"713","BASQUE CENTER FOR APPLIED MATHEMATICS (BCAM)","SPAIN","198","6192","31.27","6"
"714","JIANGSU UNIVERSITY OF SCIENCE & TECHNOLOGY","CHINA MAINLAND","478","6185","12.94","3"
"715","UNIVERSITY OF PATRAS","GREECE","538","6181","11.49","4"
"716","LEBANESE AMERICAN UNIVERSITY","LEBANON","748","6171","8.25","27"
"717","GUANGXI UNIVERSITY","CHINA MAINLAND","667","6134","9.20","4"
"718","CITY UNIVERSITY OF NEW YORK (CUNY) SYSTEM","USA","411","6126","14.91","4"
"719","ALIBABA GROUP","CHINA MAINLAND","661","6118","9.26","13"
